id,type,genres,average_rating,num_votes
3328,tvEpisode,"Crime,Documentary",8.1,838
3329,movie,Comedy,5.7,20
3330,movie,"Comedy,Drama",4.2,506
3331,movie,"Comedy,Drama,Fantasy",6.6,51
3332,movie,Documentary,5.0,916
3333,movie,"Comedy,Horror,Romance",7.3,4953
3334,movie,"Comedy,Family",6.1,7376
3335,movie,"Comedy,Sport",6.3,1426
3336,movie,Sport,5.5,759
3337,movie,"Comedy,Fantasy,Romance",6.7,60483
3338,movie,"Comedy,Drama",5.6,905
3339,movie,"Action,Drama,Thriller",6.5,58270
3340,movie,Documentary,6.1,428
3341,movie,"Crime,Drama,Mystery",5.6,4312
3342,movie,"Documentary,History",6.6,2022
3343,movie,"Crime,Mystery,Thriller",5.7,45416
3344,tvSeries,"Drama,Thriller",7.1,7367
3345,short,"Documentary,Short",7.4,5444
3346,tvMiniSeries,Drama,6.7,876
3347,movie,"Drama,Fantasy,Horror",6.1,36910
3348,tvSpecial,Comedy,6.1,2995
3349,movie,Documentary,7.1,687
3350,movie,"Adventure,Animation,Comedy",6.6,36320
3351,movie,"Action,Drama",7.3,8276
3352,movie,"Comedy,Crime,Drama",3.8,272
3353,movie,"Action,Drama,Thriller",5.9,8614
3354,movie,"Action,Adventure,Animation",6.6,1397
3355,movie,Drama,7.7,226638
3356,movie,"Comedy,Drama,Musical",6.2,6975
3357,movie,"Comedy,Crime",6.9,18470
3358,movie,"Comedy,Fantasy,Horror",6.7,2368
3359,movie,Comedy,6.1,142
3360,movie,Romance,6.3,38
3361,movie,"Comedy,Drama",6.0,186
3362,movie,Documentary,7.6,1326
3363,movie,Drama,7.1,34229
3364,movie,"Horror,Mystery,Thriller",5.6,6410
3365,movie,Romance,6.3,65
3366,movie,Drama,7.5,126
3367,tvMiniSeries,"Drama,Mystery,Thriller",7.2,3906
3368,movie,"Action,Comedy,Crime",6.9,318725
3369,movie,"Comedy,Drama",1.6,137
3370,movie,"Drama,Thriller",8.1,39878
3371,movie,"Drama,Family",6.5,400
3372,movie,"Action,Drama",6.4,690
3373,movie,Horror,6.2,1095
3374,movie,"Comedy,Drama,Musical",8.1,165231
3375,movie,"Adventure,Animation,Comedy",6.0,51354
3376,tvMiniSeries,Documentary,9.5,98790
3377,video,"Action,Adventure,Animation",6.8,12247
3378,movie,"Drama,Fantasy,Mystery",4.6,3059
3379,movie,"Drama,War",8.1,385258
3380,movie,"Action,Crime,Thriller",4.1,4105
3381,movie,"Comedy,Romance,Sport",5.7,29120
3382,tvMovie,"Drama,Music",7.4,2503
3383,movie,Drama,6.4,751
3384,movie,Documentary,6.1,419
3385,tvEpisode,Reality-TV,8.2,20
3386,tvEpisode,"Comedy,Talk-Show",4.3,7
3387,movie,"Comedy,Family",5.1,11308
3388,tvEpisode,Reality-TV,7.4,5
3389,short,"Action,Crime,Drama",6.5,49
3390,movie,"Action,Crime,Drama",5.7,12357
3391,movie,"Action,Adventure,Animation",6.3,5980
3392,movie,"Action,Animation,Family",5.7,4607
3393,tvEpisode,Documentary,8.3,54
3394,movie,"Action,Crime,Drama",6.3,77414
3395,movie,"Comedy,Drama",8.3,44
3396,short,"Horror,Short",6.1,13
3397,movie,"Drama,Horror,Mystery",5.1,11677
3398,movie,Comedy,4.9,30
3399,tvSeries,"Animation,Comedy",6.8,640
3400,movie,Music,5.2,15
3401,movie,"Biography,Documentary",6.3,2073
3402,movie,"Adventure,Comedy,Family",5.3,29749
3403,movie,"Drama,Romance",6.1,1817
3404,movie,"Action,Adventure,Thriller",5.7,99481
3405,movie,Comedy,6.8,292
3406,movie,Drama,5.1,949
3407,movie,Comedy,5.4,1429
3408,movie,Comedy,4.2,172
3409,movie,Comedy,5.4,4038
3410,tvSeries,"Action,Adventure,Family",6.5,1134
3411,tvSeries,"Action,Adventure,Family",7.3,2763
3412,tvSeries,"Action,Adventure,Fantasy",6.5,1479
3413,tvSeries,"Action,Adventure,Drama",6.5,1665
3414,video,Fantasy,7.6,65
3415,tvSeries,"Action,Adventure,Family",6.9,1995
3416,tvSeries,"Action,Adventure,Fantasy",6.6,2310
3417,tvSeries,"Action,Adventure,Sci-Fi",6.4,2245
3418,tvSeries,"Action,Adventure,Sci-Fi",5.4,1214
3419,tvSeries,"Action,Adventure,Sci-Fi",6.6,2660
3420,tvSeries,"Action,Adventure,Comedy",4.9,1907
3421,tvSeries,"Action,Adventure,Crime",7.0,2094
3422,tvSeries,"Action,Adventure,Family",5.7,2015
3423,tvSeries,"Action,Adventure,Drama",6.3,2135
3424,tvSeries,"Action,Adventure,Family",6.6,2283
3425,movie,"Horror,Mystery,Romance",5.6,349
3426,movie,"Action,Crime,Drama",4.3,264
3427,tvSeries,"Comedy,Horror,Reality-TV",5.1,2214
3428,movie,"Action,Drama,Musical",4.4,17687
3429,movie,Romance,7.3,321
3430,movie,Documentary,7.0,2034
3431,tvMovie,"Drama,Mystery,Thriller",3.5,496
3432,movie,Musical,4.7,48
3433,movie,"Crime,Drama,Mystery",7.7,192442
3434,movie,"Comedy,Romance",5.8,91
3435,movie,"Drama,Romance",6.7,3051
3436,movie,"Biography,Documentary,Drama",7.0,1887
3437,tvSeries,"Comedy,Drama",8.4,1819
3438,movie,"Comedy,Drama",7.2,16641
3439,tvSeries,"Crime,Drama,Romance",6.5,432
3440,movie,"Comedy,Drama,Musical",7.1,237
3441,movie,Drama,6.4,75
3442,movie,Drama,6.6,27
3443,tvEpisode,"Comedy,Talk-Show",6.0,9
3444,movie,"Action,Crime,Sci-Fi",6.0,72917
3445,movie,"Horror,Mystery",3.9,34314
3446,short,"Comedy,Romance,Short",6.6,31
3447,tvEpisode,"Drama,Family",8.2,5
3448,movie,"Drama,Sci-Fi,Thriller",6.3,22501
3449,tvSeries,Drama,7.1,234
3450,movie,"Crime,Thriller",6.3,2328
3451,tvMiniSeries,"Animation,Drama,Fantasy",8.3,7644
3452,tvSeries,"Crime,Drama,Thriller",5.7,469
3453,movie,Comedy,5.3,1681
3454,movie,Drama,6.7,544
3455,movie,"Crime,Drama",8.9,1850618
3456,movie,"Drama,Family,History",8.4,1904
3457,video,"Comedy,Family",4.3,401
3458,movie,Family,4.7,192
3459,movie,"Comedy,Family,Musical",4.3,162
3460,movie,"Comedy,Family,Musical",4.0,203
3461,movie,"Crime,Thriller",5.5,4603
3462,short,"Action,Adventure,Animation",5.3,491
3463,movie,"Adventure,Animation,Comedy",6.6,146013
3464,tvSeries,"Comedy,Romance",7.9,1030
3465,movie,"Comedy,Drama,Romance",7.7,20079
3466,movie,"Comedy,Drama,Romance",7.3,14079
3467,movie,"Comedy,Drama,Romance",6.7,3002
3468,movie,"Action,Drama",6.2,50
3469,movie,Documentary,6.8,577
3470,movie,"Drama,Family,Music",5.1,108
3471,movie,"Drama,Romance",8.4,2300
3472,movie,"Action,Adventure,Thriller",6.6,408302
3473,movie,"Comedy,Drama",6.8,19288
3474,movie,"Adventure,Biography,Drama",5.7,10492
